date_maj,gagnant,secteur,pays_execution,valeur_attribuee,acheteur,titre,cpv,sous_traitance,date_publication,publication_number,lien,a_demarcher,pays_titulaire,titulaire_etranger,statut_prospection,date_detection
2026-07-03,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) Gm,Energie / petrole-gaz,"DZA, EGY, ISR, JOR, LBN, Libye, MAR, Palestine, SYR, TUN","2 999 500,00 EUR","European Union, represented by the European Commission",Belgium-Brussels: Other sources of energy supplies and distribution,"09330000, 24111600, 31121300, 65400000, 71314000",non,2023-01-18,34162-2023,https://ted.europa.eu/en/notice/34162-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,(gagnant non publie),Ingenierie / etudes,Ukraine,,Department of Capital Construction of the Executive Committee of Kryvyi Rih City Council on behalf of Kryvyi Rih City Council,Ukraine-Kryvyi Rih: Construction supervision services,71520000,non,2023-01-30,59797-2023,https://ted.europa.eu/en/notice/59797-2023/html,verifier,,,nouveau,2026-07-03
2026-07-03,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) Gm,Energie / petrole-gaz,"DZA, EGY, ISR, JOR, LBN, Libye, MAR, Palestine, SYR, TUN","2 999 500,00 EUR","European Union, represented by the European Commission",Belgium-Brussels: Other sources of energy supplies and distribution,"09330000, 24111600, 31121300, 65400000, 71314000",non,2023-02-01,65669-2023,https://ted.europa.eu/en/notice/65669-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,ALTAI SAS,Administration / defense,Irak,"474 720,00 EUR",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Germany-Eschborn: Business development consultancy services,"66111000, 75211200, 79411100",non,2023-03-06,134186-2023,https://ted.europa.eu/en/notice/134186-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,EGIS International; EGIS Ukraina; SYSTEMA Transport Planning Consultants,Ingenierie / etudes,"ARM, AZE, GEO, MDA, Ukraine","5 200 000,00 EUR",European Investment Bank,Luxembourg-Luxembourg: Facility for Eastern Partnership Investment in Connectivity (EPIC) – Technical Assistance Framework Agreement for Transport Infrastructure Project Preparation,"71311220, 71311230, 71313400, 71322000, 71335000, 71356200",non,2023-03-20,164432-2023,https://ted.europa.eu/en/notice/164432-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,B.U.COMBINES USA Inc,Energie / petrole-gaz,Ukraine,"1,00 EUR",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Germany-Eschborn: Street lamps,"09330000, 34928530",non,2023-05-03,264539-2023,https://ted.europa.eu/en/notice/264539-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,DIW Econ GmbH,Administration / defense,Ukraine,"616 625,00 EUR",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Germany-Eschborn: Environmental issues consultancy services,"75131000, 90712000, 90713000, 90720000, 90721000",non,2023-05-15,285550-2023,https://ted.europa.eu/en/notice/285550-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,DIW Econ GmbH,Administration / defense,Ukraine,"340 175,00 EUR",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Germany-Eschborn: Environmental issues consultancy services,"75131000, 90712000, 90713000, 90720000, 90721000",non,2023-05-15,285972-2023,https://ted.europa.eu/en/notice/285972-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,Urban Technology Alliance LP (UTA),Ingenierie / etudes,Ukraine,"149 950,00 EUR",Department of Capital Construction and Roads Management of Sumy City Council,Ukraine-Sumy: Supervision of building work,71247000,non,2023-05-16,291389-2023,https://ted.europa.eu/en/notice/291389-2023/html,oui,,,nouveau,2026-07-03
2026-07-03,PlanBørneFonden; Swisscontact — Fondation Suisse pour la coopération technique National,Administration / defense,Mali,"14 995 675,00 DKK",L'ambassade du Danemark au Mali,Mali-Bamako: Business development consultancy services,"75211200, 79400000, 79411100",non,2023-05-22,302507-2023,https://ted.europa.eu/en/notice/302507-2023/html,oui,,,nouveau,2026-07-03
