entreprise,siren,nom_officiel,dirigeant_principal,autres_dirigeants,activite_naf,effectif,ville,chiffre_affaires,source,date_enrichissement
Dassault Aviation,712042456,DASSAULT AVIATION,BESMA BOUMAZA (Administrateur),MARIE-HÉLÈNE HABERT (DASSAULT) (Administrateur) ; THIERRY DASSAULT (Administrateur),30.30Z,5000-9999,SAINT-CLOUD,,gouv,2026-07-02
Thales,552059024,THALES,PATRICE CAINE (Président du conseil d'administration et directeur général),BERNARD FONTANA (Administrateur) ; DELPHINE STEPHANN (GENY) (Administrateur),70.10Z,1000-1999,MEUDON,,gouv,2026-07-02
MBDA,381737618,MBDA,AUDITEX (Commissaire aux comptes suppléant),ERNST & YOUNG ET AUTRES (Commissaire aux comptes titulaire) ; SALUSTRO REYDEL (Commissaire aux comptes suppléant),64.20Z,NN,LE PLESSIS-ROBINSON,,gouv,2026-07-02
KNDS France (ex-Nexter),,,,,,,,,non trouvée,2026-07-02
Naval Group,441133808,NAVAL GROUP,PASCAL BOUCHIAT (Administrateur),PATRICE CAINE (Administrateur) ; VALERIE VERNIERE (CHAMPAGNE) (Administrateur),30.11Z,10000+,PARIS,,gouv,2026-07-02
Airbus Defence and Space,393341516,AIRBUS DEFENCE AND SPACE SAS,MIKAEL BUTTERBACH (Directeur général délégué),JEAN-BRICE DUMONT (Directeur Général) ; ALAIN FAURE (Président de SAS),30.30Z,5000-9999,TOULOUSE,,gouv,2026-07-02
Airbus Helicopters,352383715,AIRBUS HELICOPTERS,MATTHIEU LOUVOT (Président de SAS),ERNST & YOUNG AUDIT (Commissaire aux comptes titulaire) ; AUDITEX (Commissaire aux comptes suppléant),30.30Z,10000+,MARIGNANE,,gouv,2026-07-02
Safran Electronics & Defense,480107911,SAFRAN ELECTRONICS & DEFENSE,FRANCK SAUDO (Président de SAS),MAZARS (Commissaire aux comptes titulaire),26.51A,5000-9999,PARIS,,gouv,2026-07-02
Arquus,662043405,"ARQUUS (VOLVO GROUP GOVERNMENTAL SALES, RENAULT TRUCKS DEFENSE, ACMAT, ACMAT DEFENSE, ARQUUS)",THIERRY RENAUDIN (Président de SAS),DELOITTE & ASSOCIES (Commissaire aux comptes titulaire),30.40Z,1000-1999,VERSAILLES,,gouv,2026-07-02
ArianeGroup,519032247,ARIANEGROUP SAS,CHRISTOPHE BRUNEAU (Directeur Général),FRANCK HUIBAN (Président de SAS) ; ERNST & YOUNG ET AUTRES (Commissaire aux comptes titulaire),30.30Z,5000-9999,LES MUREAUX,,gouv,2026-07-02
