entreprise,secteur,actif,requete_optionnelle
Vinci,BTP / Construction / Infrastructure,oui,
Sogea-Satom,BTP / Construction / Infrastructure,oui,
Bouygues Construction,BTP / Construction / Infrastructure,oui,
Bouygues Travaux Publics,BTP / Construction / Infrastructure,oui,
Colas,BTP / Construction / Infrastructure,oui,
Eiffage,BTP / Construction / Infrastructure,oui,
Razel-Bec,BTP / Construction / Infrastructure,oui,
Fayat,BTP / Construction / Infrastructure,oui,
NGE,BTP / Construction / Infrastructure,oui,
Spie Batignolles,BTP / Construction / Infrastructure,oui,
Demathieu Bard,BTP / Construction / Infrastructure,oui,
BESIX,BTP / Construction / Infrastructure,oui,
Webuild (Salini Impregilo),BTP / Construction / Infrastructure,oui,
Orascom Construction,BTP / Construction / Infrastructure,oui,
The Arab Contractors,BTP / Construction / Infrastructure,oui,
Julius Berger Nigeria,BTP / Construction / Infrastructure,oui,
China State Construction (CSCEC),BTP / Construction / Infrastructure,oui,
China Road and Bridge (CRBC),BTP / Construction / Infrastructure,oui,
Sinohydro,BTP / Construction / Infrastructure,oui,
STRABAG,BTP / Construction / Infrastructure,oui,
Andrade Gutierrez,BTP / Construction / Infrastructure,oui,
Onur Group,BTP / Construction / Infrastructure,oui,
Altcom,BTP / Construction / Infrastructure,oui,
Ronesans Holding,BTP / Construction / Infrastructure,oui,
ENKA,BTP / Construction / Infrastructure,oui,
Limak,BTP / Construction / Infrastructure,oui,
Gulermak,BTP / Construction / Infrastructure,oui,
Dogus Construction,BTP / Construction / Infrastructure,oui,
Budimex,BTP / Construction / Infrastructure,oui,
Mota-Engil,BTP / Construction / Infrastructure,oui,
Bechtel,BTP / Construction / Infrastructure,oui,
Trakya Insaat,BTP / Construction / Infrastructure,oui,
TotalEnergies,Oil & Gas / Energie,oui,
Perenco,Oil & Gas / Energie,oui,
Maurel & Prom,Oil & Gas / Energie,oui,
Technip Energies,Oil & Gas / Energie,oui,
TechnipFMC,Oil & Gas / Energie,oui,
Vallourec,Oil & Gas / Energie,oui,
CGG,Oil & Gas / Energie,oui,
SLB (Schlumberger),Oil & Gas / Energie,oui,
Halliburton,Oil & Gas / Energie,oui,
Baker Hughes,Oil & Gas / Energie,oui,
Eni,Oil & Gas / Energie,oui,
Trafigura,Oil & Gas / Energie,oui,
Vitol,Oil & Gas / Energie,oui,
Glencore,Oil & Gas / Energie,oui,
Savannah Energy,Oil & Gas / Energie,oui,
Kosmos Energy,Oil & Gas / Energie,oui,
Tullow Oil,Oil & Gas / Energie,oui,
BW Energy,Oil & Gas / Energie,oui,
Sonatrach,Oil & Gas / Energie,oui,
Engie,Oil & Gas / Energie,oui,
EDF,Oil & Gas / Energie,oui,
Vivo Energy,Oil & Gas / Energie,oui,
Rubis Energie,Oil & Gas / Energie,oui,
Puma Energy,Oil & Gas / Energie,oui,
KazMunayGas,Oil & Gas / Energie,oui,
CNPC,Oil & Gas / Energie,oui,
DTEK,Oil & Gas / Energie,oui,
Naftogaz,Oil & Gas / Energie,oui,
Aggreko,Oil & Gas / Energie,oui,
GE Vernova,Oil & Gas / Energie,oui,
Karpowership,Oil & Gas / Energie,oui,
Wartsila,Oil & Gas / Energie,oui,
Eramet,Mines / Materiaux,oui,
Orano,Mines / Materiaux,oui,
Managem,Mines / Materiaux,oui,
Imerys,Mines / Materiaux,oui,
Endeavour Mining,Mines / Materiaux,oui,
Barrick Gold,Mines / Materiaux,oui,
AngloGold Ashanti,Mines / Materiaux,oui,
B2Gold,Mines / Materiaux,oui,
Resolute Mining,Mines / Materiaux,oui,
Nordgold,Mines / Materiaux,oui,
Hummingbird Resources,Mines / Materiaux,oui,
IAMGOLD,Mines / Materiaux,oui,
Fortuna Mining,Mines / Materiaux,oui,
Perseus Mining,Mines / Materiaux,oui,
Allied Gold,Mines / Materiaux,oui,
Robex Resources,Mines / Materiaux,oui,
Kinross Gold,Mines / Materiaux,oui,
First Quantum Minerals,Mines / Materiaux,oui,
Ivanhoe Mines,Mines / Materiaux,oui,
Sibanye-Stillwater,Mines / Materiaux,oui,
Gemfields,Mines / Materiaux,oui,
Compagnie Miniere Montagne d'Or,Mines / Materiaux,oui,
Centerra Gold,Mines / Materiaux,oui,
KAZ Minerals,Mines / Materiaux,oui,
Solidcore Resources,Mines / Materiaux,oui,
Zijin Mining,Mines / Materiaux,oui,
Egis,Ingenierie / Conseil / Assistance technique,oui,
Setec,Ingenierie / Conseil / Assistance technique,oui,
Systra,Ingenierie / Conseil / Assistance technique,oui,
Artelia,Ingenierie / Conseil / Assistance technique,oui,
Assystem,Ingenierie / Conseil / Assistance technique,oui,
Capgemini,Ingenierie / Conseil / Assistance technique,oui,
Sofrecom,Ingenierie / Conseil / Assistance technique,oui,
Expertise France,Ingenierie / Conseil / Assistance technique,oui,
Eptisa,Ingenierie / Conseil / Assistance technique,oui,
GOPA,Ingenierie / Conseil / Assistance technique,oui,
NIRAS,Ingenierie / Conseil / Assistance technique,oui,
COWI,Ingenierie / Conseil / Assistance technique,oui,
AECOM,Ingenierie / Conseil / Assistance technique,oui,
Tractebel,Ingenierie / Conseil / Assistance technique,oui,
SGS,Ingenierie / Conseil / Assistance technique,oui,
Bureau Veritas,Ingenierie / Conseil / Assistance technique,oui,
Antea Group,Ingenierie / Conseil / Assistance technique,oui,
BRLi,Ingenierie / Conseil / Assistance technique,oui,
Ingerop,Ingenierie / Conseil / Assistance technique,oui,
WSP (Louis Berger),Ingenierie / Conseil / Assistance technique,oui,
Mott MacDonald,Ingenierie / Conseil / Assistance technique,oui,
Tetra Tech,Ingenierie / Conseil / Assistance technique,oui,
DAI Global,Ingenierie / Conseil / Assistance technique,oui,
Cowater International,Ingenierie / Conseil / Assistance technique,oui,
HALO Trust,Ingenierie / Conseil / Assistance technique,oui,
Norwegian People's Aid,Ingenierie / Conseil / Assistance technique,oui,
Fondation Suisse de Deminage (FSD),Ingenierie / Conseil / Assistance technique,oui,
Danish Demining Group,Ingenierie / Conseil / Assistance technique,oui,
Janus Global Operations,Ingenierie / Conseil / Assistance technique,oui,
GEG (Global Ordnance),Ingenierie / Conseil / Assistance technique,oui,
Louis Dreyfus Company,Agro / Negoce / Agribusiness,oui,
CFAO,Agro / Negoce / Agribusiness,oui,
